bank_code,bank_name,topic_number,topic_keywords
BOA,Bank of Abyssinia,1,"app, working, bank, fix, time, application, mobile, boa"
BOA,Bank of Abyssinia,2,"app, good, best, bank, boa, worst, work, banking"
BOA,Bank of Abyssinia,3,"app, use, nice, developer, like, experience, options, turn"
BOA,Bank of Abyssinia,4,"great, money, work, doesn, app, fast, application, transfer"
CBE,Commercial Bank of Ethiopia,1,"app, excellent, transaction, banking, cbe, update, application, mobile"
CBE,Commercial Bank of Ethiopia,2,"best, app, nice, bank, txn, fast, connect, cbe"
CBE,Commercial Bank of Ethiopia,3,"good, app, update, love, great, time, new, bank"
CBE,Commercial Bank of Ethiopia,4,"app, cbe, like, bank, service, bad, friendly, branch"
Dashen,Dashen Bank,1,"app, best, nice, amazing, bank, application, ok, working"
Dashen,Dashen Bank,2,"app, wow, slow, bank, convenient, love, use, new"
Dashen,Dashen Bank,3,"app, dashen, banking, super, bank, fast, easy, user"
Dashen,Dashen Bank,4,"good, app, worst, time, banking, experience, really, works"
